,open,close,high,low,volume,money,avg,high_limit,low_limit,pre_close,paused,factor
2005-01-04,0.82,0.83,0.84,0.82,65644608.0,54514225.0,0.83,0.91,0.75,0.83,0.0,0.15772523124235546
2005-01-05,0.83,0.86,0.86,0.83,111522132.0,94781899.0,0.85,0.91,0.75,0.83,0.0,0.15772523124235546
2005-01-06,0.86,0.86,0.86,0.84,116795384.0,99253395.0,0.85,0.95,0.77,0.86,0.0,0.15772523124235546
2005-01-07,0.85,0.86,0.88,0.85,112361591.0,97564036.0,0.87,0.94,0.77,0.86,0.0,0.15772523124235546
2005-01-10,0.86,0.86,0.88,0.86,44952814.0,38839982.0,0.86,0.95,0.78,0.86,0.0,0.15772523124235546
2005-01-11,0.86,0.87,0.87,0.86,37659016.0,32581355.0,0.87,0.95,0.77,0.86,0.0,0.15772523124235546
2005-01-12,0.88,0.87,0.88,0.85,47649669.0,41383107.0,0.87,0.96,0.78,0.87,0.0,0.15772523124235546
2005-01-13,0.87,0.88,0.88,0.87,58073270.0,50694350.0,0.87,0.96,0.79,0.87,0.0,0.15772523124235546
2005-01-14,0.88,0.86,0.88,0.86,53157354.0,46323160.0,0.87,0.97,0.79,0.88,0.0,0.15772523124235546
2005-01-17,0.86,0.86,0.86,0.85,63070981.0,54082167.0,0.86,0.95,0.78,0.86,0.0,0.15772523124235546
2005-01-18,0.85,0.86,0.87,0.85,35681387.0,30599267.0,0.86,0.94,0.77,0.86,0.0,0.15772523124235546
2005-01-19,0.86,0.85,0.87,0.85,28516154.0,24547568.0,0.86,0.95,0.77,0.86,0.0,0.15772523124235546
2005-01-20,0.85,0.85,0.86,0.84,35844899.0,30611378.0,0.85,0.93,0.76,0.85,0.0,0.15772523124235546
2005-01-21,0.85,0.89,0.9,0.85,114645253.0,100951098.0,0.88,0.94,0.77,0.85,0.0,0.15772523124235546
2005-01-24,0.9,0.91,0.92,0.89,121046689.0,109562077.0,0.91,0.98,0.8,0.89,0.0,0.15772523124235546
2005-01-25,0.91,0.91,0.91,0.89,76165861.0,68954497.0,0.91,1.0,0.82,0.91,0.0,0.15772523124235546
2005-01-26,0.91,0.9,0.91,0.88,78382469.0,70488793.0,0.9,1.0,0.82,0.91,0.0,0.15772523124235546
2005-01-27,0.88,0.89,0.91,0.88,50607090.0,45387544.0,0.9,0.99,0.81,0.9,0.0,0.15772523124235546
2005-01-28,0.89,0.89,0.9,0.89,37506555.0,33522798.0,0.89,0.98,0.8,0.89,0.0,0.15772523124235546
2005-01-31,0.89,0.9,0.9,0.88,33757522.0,30211890.0,0.89,0.98,0.8,0.89,0.0,0.15772523124235546
2005-02-01,0.9,0.9,0.91,0.89,38766695.0,34966807.0,0.9,0.99,0.81,0.9,0.0,0.15772523124235546
2005-02-02,0.91,0.94,0.94,0.9,128758378.0,119509470.0,0.93,0.99,0.81,0.9,0.0,0.15772523124235546
2005-02-03,0.94,0.93,0.97,0.93,152399973.0,144726444.0,0.95,1.03,0.85,0.94,0.0,0.15772523124235546
2005-02-04,0.93,0.96,0.97,0.93,125948251.0,120357280.0,0.96,1.02,0.84,0.93,0.0,0.15772523124235546
2005-02-16,0.97,0.97,0.99,0.97,120339649.0,117548511.0,0.98,1.06,0.86,0.96,0.0,0.15772523124235546
2005-02-17,0.98,0.95,0.98,0.94,85632330.0,81718705.0,0.95,1.07,0.87,0.97,0.0,0.15772523124235546
2005-02-18,0.95,0.93,0.96,0.92,104238902.0,97736581.0,0.94,1.05,0.86,0.95,0.0,0.15772523124235546
2005-02-21,0.93,0.95,0.95,0.93,77866350.0,73597821.0,0.94,1.02,0.84,0.93,0.0,0.15772523124235546
2005-02-22,0.95,0.96,0.97,0.95,93291016.0,89484658.0,0.96,1.05,0.86,0.95,0.0,0.15772523124235546
2005-02-23,0.96,0.95,0.97,0.94,96058195.0,91619824.0,0.95,1.06,0.86,0.96,0.0,0.15772523124235546
2005-02-24,0.95,0.94,0.95,0.91,127935416.0,118716071.0,0.93,1.04,0.85,0.95,0.0,0.15772523124235546
2005-02-25,0.94,0.93,0.96,0.93,118644645.0,111650528.0,0.94,1.03,0.84,0.94,0.0,0.15772523124235546
2005-02-28,0.93,0.9,0.94,0.9,193894273.0,176328689.0,0.91,1.03,0.84,0.93,0.0,0.15772523124235546
2005-03-01,0.9,0.9,0.91,0.9,85962442.0,77794634.0,0.91,0.99,0.81,0.9,0.0,0.15772523124235546
2005-03-02,0.91,0.89,0.91,0.88,92465434.0,82459323.0,0.89,0.99,0.81,0.9,0.0,0.15772523124235546
2005-03-03,0.89,0.89,0.89,0.89,0.0,0.0,0.89,0.89,0.89,0.89,1.0,0.15772523124235546
2005-03-04,0.89,0.89,0.89,0.89,0.0,0.0,0.89,0.89,0.89,0.89,1.0,0.15772523124235546
2005-03-07,0.9,0.92,0.93,0.9,99368230.0,91015050.0,0.92,0.98,0.8,0.89,0.0,0.15772523124235546
2005-03-08,0.93,0.91,0.93,0.9,140941521.0,128387988.0,0.91,1.01,0.83,0.92,0.0,0.15772523124235546
2005-03-09,0.91,0.92,0.94,0.91,161642141.0,149877076.0,0.93,1.01,0.82,0.91,0.0,0.15772523124235546
2005-03-10,0.92,0.92,0.94,0.91,95481363.0,88351853.0,0.93,1.01,0.83,0.92,0.0,0.15772523124235546
2005-03-11,0.92,0.91,0.92,0.9,65974853.0,59913028.0,0.91,1.01,0.83,0.92,0.0,0.15772523124235546
2005-03-14,0.91,0.9,0.91,0.88,110436750.0,98448431.0,0.89,1.0,0.82,0.91,0.0,0.15772523124235546
2005-03-15,0.9,0.88,0.9,0.88,71466777.0,63358983.0,0.89,0.99,0.81,0.9,0.0,0.15772523124235546
2005-03-16,0.88,0.87,0.89,0.86,91807157.0,79986071.0,0.87,0.97,0.8,0.88,0.0,0.15772523124235546
2005-03-17,0.84,0.83,0.85,0.82,285443531.0,238825816.0,0.84,0.95,0.78,0.87,0.0,0.15772523124235546
2005-03-18,0.82,0.86,0.86,0.82,87842604.0,74290988.0,0.85,0.91,0.75,0.83,0.0,0.15772523124235546
2005-03-21,0.85,0.86,0.87,0.84,75675793.0,64941739.0,0.86,0.94,0.77,0.86,0.0,0.15772523124235546
2005-03-22,0.87,0.87,0.89,0.86,135018918.0,118411082.0,0.88,0.95,0.78,0.86,0.0,0.15772523124235546
2005-03-23,0.88,0.89,0.91,0.87,132122273.0,118280605.0,0.9,0.96,0.79,0.87,0.0,0.15772523124235546
2005-03-24,0.89,0.89,0.9,0.87,52314268.0,46292239.0,0.88,0.98,0.8,0.89,0.0,0.15772523124235546
2005-03-25,0.89,0.89,0.9,0.88,51829723.0,46244847.0,0.89,0.98,0.8,0.89,0.0,0.15772523124235546
2005-03-28,0.89,0.88,0.89,0.87,50003097.0,44058209.0,0.88,0.98,0.8,0.89,0.0,0.15772523124235546
2005-03-29,0.88,0.87,0.89,0.87,44461701.0,38995293.0,0.88,0.97,0.79,0.88,0.0,0.15772523124235546
2005-03-30,0.87,0.87,0.88,0.86,60006905.0,52291408.0,0.87,0.96,0.78,0.87,0.0,0.15772523124235546
2005-03-31,0.87,0.87,0.88,0.85,38506553.0,33346140.0,0.87,0.96,0.78,0.87,0.0,0.15772523124235546
2005-04-01,0.87,0.9,0.91,0.87,128413158.0,114243257.0,0.89,0.96,0.78,0.87,0.0,0.15772523124235546
2005-04-04,0.89,0.89,0.91,0.87,73682010.0,65599551.0,0.89,0.99,0.81,0.9,0.0,0.15772523124235546
2005-04-05,0.88,0.88,0.89,0.88,53691562.0,47421631.0,0.88,0.97,0.8,0.89,0.0,0.15772523124235546
2005-04-06,0.89,0.91,0.91,0.88,145720928.0,130730394.0,0.9,0.97,0.79,0.88,0.0,0.15772523124235546
2005-04-07,0.91,0.92,0.94,0.91,147838724.0,137071777.0,0.93,1.0,0.82,0.91,0.0,0.15772523124235546
2005-04-08,0.92,0.92,0.92,0.9,100184212.0,91216009.0,0.91,1.01,0.83,0.92,0.0,0.15772523124235546
2005-04-11,0.92,0.9,0.92,0.89,78462652.0,70781852.0,0.9,1.01,0.83,0.92,0.0,0.15772523124235546
2005-04-12,0.9,0.9,0.91,0.9,44101650.0,39861367.0,0.9,0.99,0.81,0.9,0.0,0.15772523124235546
2005-04-13,0.91,0.92,0.94,0.91,173094233.0,159632866.0,0.92,0.99,0.81,0.9,0.0,0.15772523124235546
2005-04-14,0.93,0.92,0.93,0.92,48315681.0,44633907.0,0.92,1.01,0.83,0.92,0.0,0.15772523124235546
2005-04-15,0.92,0.92,0.92,0.91,43450556.0,39867992.0,0.92,1.01,0.83,0.92,0.0,0.15772523124235546
